Title,Epic,Exercise ID,Estimate,Owner,Linked PR,Status,Acceptance Criteria,Codebase Tag
TICKET-ADV001 - Create GitHub repo with branch protection,RECONX-E1, TICKET-ADV001,3,@Junia,,Done,"Repo is private and team can push feature branches; direct push to main is rejected and PR is required; main requires 2 approvals plus stale dismissal plus status checks build/test/lint; CODEOWNERS routes backend frontend db.",TICKET-ADV001
TICKET-ADV002 - Design C4 Context diagram,RECONX-E1,TICKET-ADV002,2,@Junia,,Done,"Diagram has exactly one ReconX system box with external actors/systems only; every relationship arrow includes protocol and intent; artifact committed under db/diagrams or docs/architecture.",TICKET-ADV002
TICKET-ADV003 - Design C4 Container diagram,RECONX-E1,TICKET-ADV003,3,@Junia,,In Review,"ReconX boundary contains SPA API recon engine DB Kafka and observability as separate containers; arrows are protocol plus intent; external actors/systems remain outside boundary.",TICKET-ADV003
TICKET-ADV004 - Design C4 Component diagram,RECONX-E1,TICKET-ADV004,3,@Junia,,To Do,"Diagram title identifies target container; roughly 10-15 component boxes grouped by stereotype; external neighbors shown as referenced containers, not internal components.",TICKET-ADV004
TICKET-ADV005 - Placeholder pending guide clarification,RECONX-E1,TICKET-ADV005,1,@Junia,,Backlog,"No TICKET-ADV005 section found in student guide or codebase TODOs; keep placeholder card and replace once trainer provides official acceptance criteria.",TICKET-ADV005
TICKET-ADV006 - Design ER model (8 entities),RECONX-E2,TICKET-ADV006,3,@Junia,,Done,"Exactly eight entities are modeled; every FK arrow points to parent and trades partition key is called out; diagram committed at db/erd.md or equivalent and reproducible by team.",TICKET-ADV006
TICKET-ADV007 - CREATE TABLE with monthly partitioning,RECONX-E2,TICKET-ADV007,5,@Junia,,In Progress,"d+ trades shows partition key RANGE trade_date and monthly children; explain analyze on date filter scans only target month partition; at least April through July 2026 partitions plus trades_default exist.",TICKET-ADV007
TICKET-ADV008 - Materialized view mv_daily_recon_summary,RECONX-E2,TICKET-ADV008,3,@Junia,,To Do,"d+ view shows total_trades matched_trades open_breaks gross_notional match_rate_pct; unique index on trade_date region asset_class enables concurrent refresh; created via Liquibase sql changeset.",TICKET-ADV008
TICKET-ADV009 - Add JSONB column to instruments,RECONX-E2,TICKET-ADV009,3,@Junia,,To Do,"instruments has metadata jsonb not null default empty object; GIN index exists on metadata; explain analyze for metadata containment query uses GIN index, not seq scan.",TICKET-ADV009
TICKET-ADV010 - Window function VWAP per instrument per day,RECONX-E2,TICKET-ADV010,2,@Junia,,Backlog,"Query returns one row per trade including qty price notional and vwap; vwap formula is sum price times qty over sum qty partitioned by instrument_id and trade_date; query stored in db/queries.sql and runs on seed data.",TICKET-ADV010
TICKET-ADV011 - Recursive CTE trade lifecycle rollup,RECONX-E2,TICKET-ADV011,3,@Junia,,Backlog,"Recursive CTE has base case plus recursive union all step; termination guard prevents infinite recursion; result includes trade_id stage stage_name event_at event_status.",TICKET-ADV011
TICKET-ADV012 - Liquibase master changelog,RECONX-E3,TICKET-ADV012,3,@Junia,,Done,"Master changelog exists with valid schema and no parse errors; each business object is in numbered chapter file under changes; application.yml points to classpath master changelog and app starts cleanly.",TICKET-ADV012
TICKET-ADV013 - Add rollback tags,RECONX-E3,TICKET-ADV013,2,@Junia,,In Progress,"Each sql changeset has matching rollback block; at least one tagDatabase release tag exists after initial schema; rollbackSQL for release tag runs and emits sensible reverse DDL.",TICKET-ADV013
TICKET-ADV014 - Add preconditions,RECONX-E3,TICKET-ADV014,2,@Junia,,To Do,"Idempotent schema changesets have preconditions to avoid rerun; environment-gated seed uses contexts and row-existence check; preconditions use appropriate onFail mode with comments where non-obvious.",TICKET-ADV014
TICKET-ADV015 - Use Claude to generate ADRs,RECONX-E3,TICKET-ADV015,2,@Junia,https://github.com/HowdenFr/db2026-reconX/pull/new/ticket-15,Done,"At least three ADRs exist in docs/adr 0001 to 0003; each ADR has Nygard sections and ReconX-specific scale alternatives constraints; prompt template committed at docs/adr/README.md.",TICKET-ADV015
TICKET-ADV016 - Set up Jira Kanban with epics,RECONX-E3,TICKET-ADV016,3,@Junia,,In Progress,"At least three epics group Day 1 exercises; one card per exercise ID with owner estimate and acceptance criteria; board has Backlog To Do In Progress In Review Done and at least one card flowed end-to-end.",TICKET-ADV016
TICKET-ADV017 - Seed data 10 counterparties 50 instruments 500 trades,RECONX-E3,TICKET-ADV017,5,@Junia,,To Do,"SQL counts return 10 counterparties 50 instruments 500 trades; trades spread roughly evenly across April to July 2026 partitions; seed runs in FK-safe order and is gated from prod via precondition or dev/test context.",TICKET-ADV017
