trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
SEED-20260201-0001,1,1,EQUITY,BUY,100.0000,245.50,2026-02-01,PENDING
SEED-20260202-0002,2,2,EQUITY,SELL,250.0000,89.20,2026-02-02,PENDING
SEED-20260203-0003,3,3,EQUITY,BUY,50.0000,412.75,2026-02-03,MATCHED
SEED-20260204-0004,4,4,EQUITY,SELL,1000.0000,12.30,2026-02-04,PENDING
SEED-20260205-0005,5,5,EQUITY,BUY,75.0000,198.60,2026-02-05,MATCHED
SEED-20260206-0006,6,6,EQUITY,SELL,300.0000,55.40,2026-02-06,PENDING
SEED-20260207-0007,7,7,EQUITY,BUY,120.0000,301.10,2026-02-07,PENDING
SEED-20260208-0008,8,8,EQUITY,SELL,400.0000,27.85,2026-02-08,MATCHED
SEED-20260209-0009,9,9,EQUITY,BUY,60.0000,510.00,2026-02-09,PENDING
SEED-20260210-0010,10,10,EQUITY,SELL,150.0000,73.25,2026-02-10,PENDING
